Measure,Unit,Year,Value
Producer Support Estimate (PSE),"Euro, Millions",2013,188140.5076
Producer Support Estimate (PSE),"Euro, Millions",2014,175169.7918
Producer Support Estimate (PSE),"Euro, Millions",2015,193117.8237
Producer Support Estimate (PSE),"Euro, Millions",2016,194821.1649
Producer Support Estimate (PSE),"Euro, Millions",2017,190739.158
Producer Support Estimate (PSE),"Euro, Millions",2018,196247.3993
Producer Support Estimate (PSE),"Euro, Millions",2019,204861.6846
Producer Support Estimate (PSE),"Euro, Millions",2020,204096.2744
Producer Support Estimate (PSE),"Euro, Millions",2021,201950.6586
Producer Support Estimate (PSE),"Euro, Millions",2022,193184.4276
Producer Support Estimate (PSE),"Euro, Millions",2023,206904.4543
Producer Support Estimate (PSE),"Euro, Millions",2024,216223.5747
Producer Support Estimate (PSE),"US dollar, Millions",2013,249872.8428
Producer Support Estimate (PSE),"US dollar, Millions",2014,232713.2667
Producer Support Estimate (PSE),"US dollar, Millions",2015,214266.8154
Producer Support Estimate (PSE),"US dollar, Millions",2016,215648.2581
Producer Support Estimate (PSE),"US dollar, Millions",2017,215474.3167
Producer Support Estimate (PSE),"US dollar, Millions",2018,231759.1601
Producer Support Estimate (PSE),"US dollar, Millions",2019,229337.4999
Producer Support Estimate (PSE),"US dollar, Millions",2020,233118.0761
Producer Support Estimate (PSE),"US dollar, Millions",2021,238855.2238
Producer Support Estimate (PSE),"US dollar, Millions",2022,203432.5455
Producer Support Estimate (PSE),"US dollar, Millions",2023,223719.1885
Producer Support Estimate (PSE),"US dollar, Millions",2024,234036.0591
Producer Support Estimate (PSE),"National currency, Millions",2013,249872.8428
Producer Support Estimate (PSE),"National currency, Millions",2014,232713.2667
Producer Support Estimate (PSE),"National currency, Millions",2015,214266.8154
Producer Support Estimate (PSE),"National currency, Millions",2016,215648.2581
Producer Support Estimate (PSE),"National currency, Millions",2017,215474.3167
Producer Support Estimate (PSE),"National currency, Millions",2018,231759.1601
Producer Support Estimate (PSE),"National currency, Millions",2019,229337.4999
Producer Support Estimate (PSE),"National currency, Millions",2020,233118.0761
Producer Support Estimate (PSE),"National currency, Millions",2021,238855.2238
Producer Support Estimate (PSE),"National currency, Millions",2022,203432.5455
Producer Support Estimate (PSE),"National currency, Millions",2023,223719.1885
Producer Support Estimate (PSE),"National currency, Millions",2024,234036.0591
Support based on commodity output,"Euro, Millions",2013,84681.8103
Support based on commodity output,"Euro, Millions",2014,74337.9417
Support based on commodity output,"Euro, Millions",2015,86301.5786
Support based on commodity output,"Euro, Millions",2016,88954.1679
Support based on commodity output,"Euro, Millions",2017,88861.4286
Support based on commodity output,"Euro, Millions",2018,90688.8471
Support based on commodity output,"Euro, Millions",2019,86186.3712
Support based on commodity output,"Euro, Millions",2020,86386.0726
Support based on commodity output,"Euro, Millions",2021,72368.666
Support based on commodity output,"Euro, Millions",2022,63002.5488
Support based on commodity output,"Euro, Millions",2023,81113.0837
Support based on commodity output,"Euro, Millions",2024,89773.9274
Support based on commodity output,"US dollar, Millions",2013,112467.4582
Support based on commodity output,"US dollar, Millions",2014,98758.0397
Support based on commodity output,"US dollar, Millions",2015,95752.759
Support based on commodity output,"US dollar, Millions",2016,98463.6929
Support based on commodity output,"US dollar, Millions",2017,100385.0274
Support based on commodity output,"US dollar, Millions",2018,107099.3609
Support based on commodity output,"US dollar, Millions",2019,96483.4734
Support based on commodity output,"US dollar, Millions",2020,98669.8808
Support based on commodity output,"US dollar, Millions",2021,85593.3525
