Sector,Year,CO2_Emissions_Tonnes
"Agriculture, forestry and fishing",2010,6920809.0
"Agriculture, forestry and fishing",2011,6570591.0
"Agriculture, forestry and fishing",2012,6542280.0
"Agriculture, forestry and fishing",2013,6633350.0
"Agriculture, forestry and fishing",2014,6846928.0
"Agriculture, forestry and fishing",2015,7222154.0
"Agriculture, forestry and fishing",2016,7240907.0
"Agriculture, forestry and fishing",2017,7393881.0
"Agriculture, forestry and fishing",2018,7800370.0
"Agriculture, forestry and fishing",2019,6503396.0
Mining and quarrying,2010,22514526.0
Mining and quarrying,2011,20290474.0
Mining and quarrying,2012,19578164.0
Mining and quarrying,2013,22405183.0
Mining and quarrying,2014,34135529.0
Mining and quarrying,2015,28744148.0
Mining and quarrying,2016,29683614.0
Mining and quarrying,2017,30328622.0
Mining and quarrying,2018,32864654.0
Mining and quarrying,2019,24682551.0
Manufacturing,2010,58321977.0
Manufacturing,2011,55873322.0
Manufacturing,2012,55742841.0
Manufacturing,2013,58389183.0
Manufacturing,2014,73538207.0
Manufacturing,2015,80158395.0
Manufacturing,2016,83056825.0
Manufacturing,2017,82887386.0
Manufacturing,2018,80181854.0
Manufacturing,2019,64998179.0
"Electricity, gas, steam and air conditioning supply",2010,88929918.0
"Electricity, gas, steam and air conditioning supply",2011,90997362.0
"Electricity, gas, steam and air conditioning supply",2012,97637477.0
"Electricity, gas, steam and air conditioning supply",2013,97817332.0
"Electricity, gas, steam and air conditioning supply",2014,102933896.0
"Electricity, gas, steam and air conditioning supply",2015,96665167.0
"Electricity, gas, steam and air conditioning supply",2016,97342363.0
"Electricity, gas, steam and air conditioning supply",2017,106021782.0
"Electricity, gas, steam and air conditioning supply",2018,112784872.0
"Electricity, gas, steam and air conditioning supply",2019,112337816.0
"Water supply; sewerage, waste management and remediation activities",2010,587538.0
"Water supply; sewerage, waste management and remediation activities",2011,516899.0
"Water supply; sewerage, waste management and remediation activities",2012,544364.0
"Water supply; sewerage, waste management and remediation activities",2013,488968.0
"Water supply; sewerage, waste management and remediation activities",2014,509006.0
"Water supply; sewerage, waste management and remediation activities",2015,473685.0
"Water supply; sewerage, waste management and remediation activities",2016,478357.0
"Water supply; sewerage, waste management and remediation activities",2017,501555.0
"Water supply; sewerage, waste management and remediation activities",2018,520532.0
"Water supply; sewerage, waste management and remediation activities",2019,406779.0
Construction,2010,5443447.0
Construction,2011,5768170.0
Construction,2012,6158044.0
Construction,2013,6714012.0
Construction,2014,6347893.0
Construction,2015,7348095.0
Construction,2016,5354444.0
Construction,2017,5957446.0
Construction,2018,6058354.0
Construction,2019,4100674.0
Services (except transportation and storage),2010,32698142.0
Services (except transportation and storage),2011,25320971.0
Services (except transportation and storage),2012,26332149.0
Services (except transportation and storage),2013,29887111.0
Services (except transportation and storage),2014,32354355.0
Services (except transportation and storage),2015,37830474.0
Services (except transportation and storage),2016,37890821.0
Services (except transportation and storage),2017,39264272.0
Services (except transportation and storage),2018,39593795.0
Services (except transportation and storage),2019,26316683.0
Wholesale and retail trade; repair of motor vehicles and motorcycles,2010,9954985.0
Wholesale and retail trade; repair of motor vehicles and motorcycles,2011,9351286.0
Wholesale and retail trade; repair of motor vehicles and motorcycles,2012,9564027.0
Wholesale and retail trade; repair of motor vehicles and motorcycles,2013,10351926.0
Wholesale and retail trade; repair of motor vehicles and motorcycles,2014,11663659.0
Wholesale and retail trade; repair of motor vehicles and motorcycles,2015,13169158.0
Wholesale and retail trade; repair of motor vehicles and motorcycles,2016,13088695.0
Wholesale and retail trade; repair of motor vehicles and motorcycles,2017,14921173.0
Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,14811004.0
Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,9288456.0
Transportation and storage,2010,15452901.0
Transportation and storage,2011,12651178.0
Transportation and storage,2012,13683711.0
Transportation and storage,2013,13272612.0
Transportation and storage,2014,14388901.0
Transportation and storage,2015,14349370.0
Transportation and storage,2016,14079608.0
Transportation and storage,2017,13627152.0
Transportation and storage,2018,15189543.0
Transportation and storage,2019,12857820.0
Accommodation and food service activities,2010,733146.0
Accommodation and food service activities,2011,525012.0
Accommodation and food service activities,2012,491742.0
Accommodation and food service activities,2013,511778.0
Accommodation and food service activities,2014,571835.0
Accommodation and food service activities,2015,718080.0
Accommodation and food service activities,2016,743504.0
Accommodation and food service activities,2017,785572.0
Accommodation and food service activities,2018,865935.0
Accommodation and food service activities,2019,562161.0
Information and communication,2010,2020485.0
Information and communication,2011,1522239.0
Information and communication,2012,1457983.0
Information and communication,2013,1678266.0
Information and communication,2014,1520989.0
Information and communication,2015,1799697.0
Information and communication,2016,1343900.0
Information and communication,2017,1430209.0
Information and communication,2018,1394627.0
Information and communication,2019,1021146.0
Financial and insurance activities,2010,2242794.0
Financial and insurance activities,2011,1249700.0
Financial and insurance activities,2012,1336402.0
Financial and insurance activities,2013,1638821.0
Financial and insurance activities,2014,1832541.0
Financial and insurance activities,2015,2605008.0
Financial and insurance activities,2016,2351959.0
Financial and insurance activities,2017,2500067.0
Financial and insurance activities,2018,2573088.0
Financial and insurance activities,2019,1775032.0
Real estate activities,2010,5811233.0
Real estate activities,2011,3321791.0
Real estate activities,2012,3398179.0
Real estate activities,2013,4049216.0
Real estate activities,2014,4781113.0
Real estate activities,2015,5583544.0
Real estate activities,2016,5235197.0
