Measure,Sector,Unit,Year,Value
Gross domestic product,Not applicable,"Current prices, Millions",2020,70649033.2
Gross domestic product,Not applicable,"Current prices, Millions",2021,83951587.9
Gross domestic product,Not applicable,"Current prices, Millions",2022,103765518.2
Gross domestic product,Not applicable,"Current prices, Millions",2023,119442289.7
Gross domestic product,Not applicable,"Current prices, Millions",2024,136693318.3
Compensation of employees,Total - all activities,"Current prices, Millions",2020,22038361.4
Compensation of employees,Total - all activities,"Current prices, Millions",2021,26151537.8
Compensation of employees,Total - all activities,"Current prices, Millions",2022,31556468.9
Compensation of employees,Total - all activities,"Current prices, Millions",2023,36821377.3
Compensation of employees,Total - all activities,"Current prices, Millions",2024,42403123.3
Wages and salaries,Total - all activities,"Current prices, Millions",2020,19816840.8
Wages and salaries,Total - all activities,"Current prices, Millions",2021,24019773.8
Wages and salaries,Total - all activities,"Current prices, Millions",2022,29624595.2
Wages and salaries,Total - all activities,"Current prices, Millions",2023,34736278.2
Wages and salaries,Total - all activities,"Current prices, Millions",2024,39969609.3
Employers' social contributions,Total - all activities,"Current prices, Millions",2020,2221520.6
Employers' social contributions,Total - all activities,"Current prices, Millions",2021,2131764.0
Employers' social contributions,Total - all activities,"Current prices, Millions",2022,1931873.7
Employers' social contributions,Total - all activities,"Current prices, Millions",2023,2085099.1
Employers' social contributions,Total - all activities,"Current prices, Millions",2024,2433514.0
"Operating surplus and mixed income, gross",Total - all activities,"Current prices, Millions",2020,43469005.6
"Operating surplus and mixed income, gross",Total - all activities,"Current prices, Millions",2021,51645119.9
"Operating surplus and mixed income, gross",Total - all activities,"Current prices, Millions",2022,63306234.8
"Operating surplus and mixed income, gross",Total - all activities,"Current prices, Millions",2023,72605056.8
"Operating surplus and mixed income, gross",Total - all activities,"Current prices, Millions",2024,84420088.7
Taxes on production and imports less subsidies,Not applicable,"Current prices, Millions",2020,5141666.2
Taxes on production and imports less subsidies,Not applicable,"Current prices, Millions",2021,6154930.2
Taxes on production and imports less subsidies,Not applicable,"Current prices, Millions",2022,8902814.5
Taxes on production and imports less subsidies,Not applicable,"Current prices, Millions",2023,10015855.6
Taxes on production and imports less subsidies,Not applicable,"Current prices, Millions",2024,9870106.3
Taxes on production and imports,Not applicable,"Current prices, Millions",2020,5389948.0
