Section,Measure,Unit,Year,Value
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2009,1.92
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2010,1.89
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2011,1.86
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2012,1.98
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2013,1.98
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2014,2.51
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2015,2.86
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2016,2.65
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2017,2.62
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2018,2.67
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2019,2.93
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2020,2.77
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2021,2.67
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2022,2.71
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2023,2.7
Frequency of observation: Annual,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions 2","US dollars per unit of CO2, 2020",2024,2.54
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2009,11.78
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2010,12.67
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2011,13.62
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2012,13.24
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2013,13.84
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2014,11.19
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2015,9.79
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2016,10.52
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2017,10.9
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2018,10.98
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2019,10.31
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2020,10.47
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2021,11.19
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2022,11.24
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2023,11.67
Frequency of observation: Annual,"Production-based CO2 intensity, energy-related CO2 per capita 2",Tonnes of CO2-equivalent per person,2024,11.47
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2009,195.82
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2010,213.4
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2011,232.49
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2012,229.12
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2013,242.98
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2014,199.42
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2015,177.06
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2016,193.24
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2017,203.25
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2018,207.9
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2019,198.09
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2020,203.96
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2021,220.85
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2022,225.11
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2023,237.28
Frequency of observation: Annual,Production-based CO2 emissions 2,"Tonnes, Millions",2024,236.11
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2009,174.82
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2010,190.51
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2011,207.55
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2012,204.55
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2013,216.92
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2014,178.03
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2015,158.07
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2016,172.52
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2017,181.45
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2018,185.6
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2019,176.84
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2020,182.09
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2021,197.16
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2022,200.96
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2023,211.83
Frequency of observation: Annual,Production-based CO2 emissions 2,"Index, 2000",2024,210.79
Frequency of observation: Annual,CO2 emissions from air transport per capita 1,Tonnes of CO2-equivalent per person,2013,61.25
Frequency of observation: Annual,CO2 emissions from air transport per capita 1,Tonnes of CO2-equivalent per person,2014,62.73
