Country,Authority,Measure,Year,Patents
Australia,European Patent Office,Patent applications,2009,992.24213
Australia,European Patent Office,Patent grants,2009,479.9296
Australia,World Intellectual Property Organization,Patent applications,2009,1853.5507
Australia,United States Patent and Trademark Office,Patent applications,2009,2380.033
Australia,United States Patent and Trademark Office,Patent grants,2009,1380.2061
Australia,European Patent Office,Patent applications,2010,887.73169
Australia,European Patent Office,Patent grants,2010,419.9964
Australia,World Intellectual Property Organization,Patent applications,2010,1744.3191
Australia,United States Patent and Trademark Office,Patent applications,2010,2556.3306
Australia,United States Patent and Trademark Office,Patent grants,2010,1332.0319
Australia,European Patent Office,Patent applications,2011,964.01172
Australia,European Patent Office,Patent grants,2011,515.93469
Australia,World Intellectual Property Organization,Patent applications,2011,1788.262
Australia,United States Patent and Trademark Office,Patent applications,2011,2111.3325
Australia,United States Patent and Trademark Office,Patent grants,2011,1313.7699
Australia,European Patent Office,Patent applications,2012,960.4696
Australia,European Patent Office,Patent grants,2012,533.58289
Australia,World Intellectual Property Organization,Patent applications,2012,1737.6261
Australia,United States Patent and Trademark Office,Patent applications,2012,2211.699
Australia,United States Patent and Trademark Office,Patent grants,2012,1392.7286
Australia,European Patent Office,Patent applications,2013,926.74847
Australia,European Patent Office,Patent grants,2013,486.41229
Australia,World Intellectual Property Organization,Patent applications,2013,1798.5924
Australia,United States Patent and Trademark Office,Patent applications,2013,2382.2183
Australia,United States Patent and Trademark Office,Patent grants,2013,1537.3905
Australia,European Patent Office,Patent applications,2014,976.83228
Australia,European Patent Office,Patent grants,2014,546.41388
Australia,World Intellectual Property Organization,Patent applications,2014,1847.3687
Australia,United States Patent and Trademark Office,Patent applications,2014,2294.5913
Australia,United States Patent and Trademark Office,Patent grants,2014,1517.7544
Australia,European Patent Office,Patent applications,2015,1023.8737
Australia,European Patent Office,Patent grants,2015,540.12091
Australia,World Intellectual Property Organization,Patent applications,2015,1902.1115
Australia,United States Patent and Trademark Office,Patent applications,2015,2396.9805
Australia,United States Patent and Trademark Office,Patent grants,2015,1604.1371
Australia,European Patent Office,Patent applications,2016,1033.6851
Australia,European Patent Office,Patent grants,2016,458.34851
Australia,World Intellectual Property Organization,Patent applications,2016,1948.9644
Australia,United States Patent and Trademark Office,Patent applications,2016,2469.0603
Australia,United States Patent and Trademark Office,Patent grants,2016,1693.7942
Australia,European Patent Office,Patent applications,2017,996.81232
Australia,European Patent Office,Patent grants,2017,413.9122
Australia,World Intellectual Property Organization,Patent applications,2017,1877.4645
Australia,United States Patent and Trademark Office,Patent applications,2017,2419.95
Australia,United States Patent and Trademark Office,Patent grants,2017,1665.4113
Australia,European Patent Office,Patent applications,2018,1074.7771
Australia,European Patent Office,Patent grants,2018,348.27859
Australia,World Intellectual Property Organization,Patent applications,2018,1879.5342
Australia,United States Patent and Trademark Office,Patent applications,2018,2333.1909
Australia,United States Patent and Trademark Office,Patent grants,2018,1478.1333
Australia,European Patent Office,Patent applications,2019,1098.7003
Australia,European Patent Office,Patent grants,2019,226.8493
Australia,World Intellectual Property Organization,Patent applications,2019,1847.6898
Australia,United States Patent and Trademark Office,Patent applications,2019,2237.9316
Australia,United States Patent and Trademark Office,Patent grants,2019,1213.4559
Australia,European Patent Office,Patent applications,2020,1047.1173
Australia,European Patent Office,Patent grants,2020,103.7719
Australia,World Intellectual Property Organization,Patent applications,2020,1831.8331
Australia,United States Patent and Trademark Office,Patent applications,2020,2066.8894
Australia,United States Patent and Trademark Office,Patent grants,2020,808.8078
Australia,European Patent Office,Patent applications,2021,930.56549
Australia,European Patent Office,Patent grants,2021,43.233299
Australia,World Intellectual Property Organization,Patent applications,2021,1838.6864
Australia,United States Patent and Trademark Office,Patent applications,2021,1872.4541
Australia,United States Patent and Trademark Office,Patent grants,2021,573.81921
Australia,European Patent Office,Patent applications,2022,696.91248
Australia,World Intellectual Property Organization,Patent applications,2022,1559.8971
